R(Angstrom),E(eV)
5.000000000000000000e-01,-4.729060579855586255e+00
5.999999999999999778e-01,-6.189883537368748634e+00
6.999999999999999556e-01,-6.700335942967348579e+00
8.000000000000000444e-01,-6.714541682542115808e+00
9.000000000000000222e-01,-6.465348748011031432e+00
1.000000000000000000e+00,-6.083271656827762719e+00
1.100000000000000089e+00,-5.638264688421079640e+00
1.200000000000000178e+00,-5.172729821382372251e+00
1.300000000000000044e+00,-4.709272126881888454e+00
1.399999999999999911e+00,-4.263317624255924976e+00
1.500000000000000000e+00,-3.843582327160395717e+00
