iteration,energy_eV,fmax_eV_A,time_s
0,-14.561280877094122,0.6018619982753485,59.20531964302063
1,-14.561280877094122,0.6018619982753485,59.20793557167053
2,-14.566168988793589,0.18913672590692487,116.97479319572449
3,-14.56654670413755,0.05187800125629415,142.70478224754333
4,-14.56660069396685,0.04518473611952322,171.00967717170715
5,-14.566716065789869,0.051618893448741404,204.78712463378906
6,-14.566771206659732,0.04661047103493166,233.77831530570984
7,-14.566837814310658,0.03677571064729503,264.069881439209
8,-14.56691435959756,0.05130883810989197,293.0834290981293
9,-14.567014172907822,0.049508347654728335,324.3687229156494
10,-14.567079574987458,0.02847919504741391,352.99166679382324
11,-14.567095157964038,0.006947106050634108,385.2025947570801
